Title,Author,Genre,Height,Publisher,book_id
"History of England, Foundation","Ackroyd, Peter",history,197,,191
City of Djinns,"Dalrymple, William",history,198,,192
India's Legal System,Nariman,nonfiction,177,,193
More Tears to Cry,"Sassoon, Jean",fiction,235,,194
"Ropemaker, The","Dickinson, Peter",fiction,196,,195
Angels & Demons,"Brown, Dan",fiction,170,,196
"Judge, The",,fiction,170,,197
"Attorney, The",,fiction,170,,198
"Prince, The",Machiavelli,philosophy,173,,199
Eyeless in Gaza,"Huxley, Aldous",fiction,180,,200
Tales of Beedle the Bard,"Rowling, J K",fiction,184,,201
Girl with the Dragon Tattoo,"Larsson, Steig",fiction,179,,202
Girl who kicked the Hornet's Nest,"Larsson, Steig",fiction,179,,203
Girl who played with Fire,"Larsson, Steig",fiction,179,,204
Batman Handbook,,comic,270,,205
Murphy's Law,,nonfiction,178,,206
Structure and Randomness,"Tao, Terence",mathematics,252,,207
Image Processing with MATLAB,"Eddins, Steve",signal_processing,241,,208
Animal Farm,"Orwell, George",fiction,180,,209
"Idiot, The","Dostoevsky, Fyodor",fiction,197,,210
"Christmas Carol, A","Dickens, Charles",fiction,196,,211
